id;title;Type;Description
NBI-8644;Custom notification categories not saving;Bug;Custom notification categories are not being saved correctly in the preferences section, reverting to defaults upon logout. Users have reported this issue across multiple modules. Fixing this ensures that user-defined notification groups persist across sessions.
NBI-8649;User-Specific Color Coding for Calendars;New Feature;Add an option for users to assign custom colors to calendar events based on categories or priorities. The settings menu should include a simple interface for managing these preferences. The system should apply color coding across all synced calendars.
NBI-8666;delayed email campaign metrics;Bug;Metrics for email campaigns, such as click-through rates and bounces, are delayed by several hours. Users have reported this is impacting their ability to make timely decisions.
NBI-8669;Improved Data Export Options;Improvement;Enhance data export functionality with more file format options (e.g., Excel, JSON) and custom field selection.
NBI-8676;Audit of SLA Compliance Reporting;Investigation;Perform an audit of SLA compliance reporting to identify gaps in metrics tracking. The review should include tickets from all channels and escalations.
NBI-8684;Dark mode for mobile app;New Feature;Implement a dark mode for the mobile application, allowing users to switch between light and dark themes. The app should detect system-wide dark mode preferences and adapt automatically. Users should also be able to toggle this feature manually in the app settings.
NBI-8689;Job posting templates;New Feature;Create reusable job posting templates that include pre-filled details like job title, description, and required qualifications. Administrators should be able to create and manage these templates for consistent and efficient job creation.
NBI-8698;Customizable Subscription Reminders;Improvement;Similar to recent updates in invoicing module. Users want more control over reminder emails for subscriptions. They should be able to edit email templates and choose when reminders are sent, like 7 or 14 days before expiration. It will help businesses send better reminders and keep customers from canceling.
NBI-8748;Recruitment data export enhancements;Epic;Enhance the data export capabilities for recruitment metrics, allowing administrators to include custom fields, filters, and formats. Tasks include updating the export interface and ensuring compatibility with analytics tools.
NBI-8770;Calendar Sync Errors with Outlook;Bug;Calendar events created in the CRM are not syncing reliably with Outlook, resulting in missed or duplicate entries.
NBI-8804;Incorrect tax calculations for international orders;Bug;Tax amounts for international purchase orders are being calculated incorrectly when multiple tax rates are applied. The issue needs investigation to identify the root cause and ensure compliance with regional tax rules.
NBI-8821;Integration with slack;New Feature;Allow integration with Slack for notifications, opportunity updates, and collaboration directly from CRM records.
NBI-8865;Improved Duplicate Detection;Improvement;Refine the duplicate detection system by introducing fuzzy matching algorithms for names, emails, and phone numbers.
NBI-8912;Customizable admin Dashboard;New Feature;Create a customizable admin dashboard with widgets for system health, user activity, and key metrics. Administrators should be able to rearrange widgets and save personalized layouts. This will provide a centralized overview for system management.
NBI-8920;Default Job Description Library;Improvement;Add a pre-defined library of common job descriptions for roles like software developer, HR manager, and sales executive. Recruiters should be able to customize these descriptions while creating new job postings.
NBI-8934;Audit Logs Not Capturing API Key Edits;Bug;Changes to API keys, such as regeneration or deletion, are not appearing in the audit logs. Administrators are unable to track who performed these actions. Ensuring complete log coverage improves transparency and system trustworthiness.
NBI-8942;Recurring Event Scheduling;New Feature;Introduce a feature to schedule recurring events, such as weekly workshops or monthly seminars. Organizers should be able to set recurrence rules, manage individual instances, and track attendance trends over time.
NBI-8984;Customizable keyboard shortcuts;New Feature;Add a panel for users to create and manage their own keyboard shortcuts for frequently used actions. The system should also offer default shortcuts with an option to reset to defaults. Preferences should apply globally across all modules for consistency.
NBI-8988;Improved notification grouping;Improvement;Group notifications by type and priority, reducing clutter and making it easier to identify critical updates.
NBI-9004;Recurring Revenue Heatmap;New Feature;Create a heatmap visualization to track recurring revenue by product or region. Users should be able to view trends over time and identify areas of growth or risk. This will enhance revenue forecasting for subscription-based businesses.
NBI-9082;Role-Based Access Templates;New Feature;As an administrator, I want to create and apply role-based access templates for users, so that I can quickly assign consistent permissions to similar roles while minimizing manual configuration errors.
NBI-9118;Activity filters reset on page refresh;Bug;Filters applied to the activity view are resetting after the page is refreshed, requiring users to reapply them repeatedly. This disrupts workflows for users managing large activity lists. Fixing this issue will improve the usability of activity tracking.
NBI-9146;Unified Customer Communication Hub;Epic;Consolidate all customer communication tools, including email, SMS, and voice calls, into a single hub. This initiative aims to streamline communication tracking and provide better context for customer interactions.
NBI-9149;Error when editing employee contracts;Bug;Administrators reported errors when trying to edit existing employee contracts, particularly for contracts that have expired. The system prevents updates without providing clear error messages.
NBI-9191;API Endpoint Usage Audit;Investigation;Review the usage patterns and performance of API endpoints, focusing on those with high traffic or frequent errors. Collect data on response times, payload sizes, and error rates. Findings will guide optimization efforts and ensure stability in API integrations.
NBI-9229;Email attachments missing in log;Bug;Some email attachments are not being logged properly in the system, resulting in incomplete records for customer communications.
NBI-9248;Session feedback collection tool;New Feature;Add a feature to collect feedback after each session during an event. Participants should receive session-specific surveys, and organizers should be able to view results aggregated by session or overall event.
NBI-9252;Incorrect role permissions saved;Bug;Changes to role permissions are not saving consistently, resulting in discrepancies between the interface and actual access levels. This issue causes confusion and potential security risks. A resolution is needed to ensure accurate permission management.
NBI-9261;Reorder point automation;New Feature;Implement an automation tool to trigger purchase orders when inventory levels fall below predefined reorder points. The system should allow users to configure reorder thresholds and preferred suppliers for each product.
NBI-9339;Stock Valuation Report Missing New Products;Bug;Newly added products are not appearing in the stock valuation report until a manual refresh is performed. This issue creates delays in reporting on newly added inventory.
NBI-9365;Custom workflow execution API;New Feature;Create an API to trigger custom workflows, allowing integrations to execute predefined CRM automation rules. Developers should be able to pass parameters specific to each workflow. This will extend the capabilities of external tools when interacting with the CRM.
NBI-9441;Data import templates failing validation;Bug;Data import templates are incorrectly failing validation, even when following the required format. This issue creates roadblocks for administrators importing large datasets. Ensuring proper validation restores functionality and confidence in the import process.
NBI-9455;Activity Logs Missing for Old Tasks;Bug;Activity logs for tasks completed more than six months ago are missing, creating gaps in historical data.
NBI-9466;Multi-channel campaign integration;New Feature;Integrate marketing campaign management with multiple channels, such as email, SMS, and social media, to provide a unified view of customer engagement.
NBI-9481;Opportunity timeline visualization;New Feature;Develop a timeline visualization for opportunities, showing key events like initial contact, meetings, and contract signing.
NBI-9509;support ticket escalation matrix;New Feature;Develop an escalation matrix for customer support tickets. This will automate escalation to higher-level support teams or managers based on ticket priority or aging.
NBI-9510;Better filters for activity logs;Improvement;Introduce advanced filters for activity logs, such as filtering by user, date range, and activity type. This will make it easier for managers to track team performance.
NBI-9544;Enhanced Receipt Customization Options;Improvement;As a store manager, I want to customize receipts by adding my store’s logo, personalized messages, and dynamic fields (e.g., discount details, loyalty points earned), so that customers receive branded and informative receipts that enhance their shopping experience.
NBI-9545;Customer Engagement Enhancements;Epic;Consolidate all initiatives related to improving customer engagement, including tracking tools, sentiment analysis, and automated follow-ups, into one unified project.
NBI-9665;Modernized Task Management Interface;Epic;Overhaul the task management interface to include improved filtering, bulk actions, and drag-and-drop functionality. The project will focus on optimizing performance for large task lists and better mobile compatibility. The new interface will streamline workflows for project teams.
NBI-9722;Report generation freezing;Bug;Large reports with detailed filters cause the report generation process to freeze, forcing users to restart the operation.
NBI-9877;Analysis of Session Popularity Metrics;Investigation;Review data on session attendance to determine which types of sessions attract the most participants. The analysis should guide recommendations for session planning in future events.
NBI-9960;enhanced API documentation generator;New Feature;Create a tool to automatically generate detailed API documentation from code annotations. The generated documentation should include example requests, responses, and error codes. This will ensure that developers always have up-to-date and accurate API references.
NBI-10092;Milestone notifications not triggering;Bug;Summary: Notifications for approaching or overdue milestones are not being sent.  Steps to Reproduce:  1. Create a project and define a milestone with a specific due date.  2. Wait for the milestone’s due date to approach or pass.  3. Check the notification center for alerts.  Actual Result: No notification is sent to project members regarding the milestone.  Expected Result: Notifications should be triggered for upcoming or overdue milestones.
NBI-10094;Email thread linking fix;Bug;Emails are not consistently linking to the correct contact or opportunity, resulting in fragmented communication histories. This needs to be fixed to ensure a unified view of all correspondence.
NBI-10104;Notification settings not saving;Bug;Changes to notification preferences are not being saved for some users, forcing them to reconfigure their settings repeatedly.
NBI-10121;AI-based deal coaching;New Feature;Use AI to provide personalized coaching tips for sales representatives, analyzing their performance and suggesting areas for improvement.
NBI-10135;Analysis of payment failure trends;Investigation;Analyze recent payment failures to identify common reasons, such as expired cards or incorrect billing information. The findings should guide potential improvements to payment retry mechanisms or customer notifications.
NBI-10179;Best practices for financial data reconciliation;Documentation;Create a best practices guide for financial data reconciliation, covering steps for identifying discrepancies, managing unreconciled transactions, and maintaining clean records.
NBI-10211;User feedback analysis for new features;Investigation;Collect and analyze user feedback on recently introduced features in the mobile app. Focus on identifying pain points, usability issues, and requests for additional enhancements. Findings should guide the next iteration of feature updates.
NBI-10239;Default sorting options for lists;New Feature;Allow users to set default sorting preferences for list views across modules, such as sorting tasks by due date or customers by last interaction. Preferences should persist across sessions. Administrators should have control over default settings at the organizational level.
NBI-10239;Recurring revenue tracking;New Feature;Add functionality to track recurring revenue opportunities, with tools to monitor contract renewal rates and recurring payment schedules.
NBI-10260;Streamlined account merging;Improvement;Improve the account merging process with better previews, duplicate detection, and options to select preferred data fields.
NBI-10302;Unified inventory management dashboard;Epic;Create a unified dashboard for inventory management, consolidating key metrics like stock levels, movement trends, and aging reports. The dashboard should support filters, real-time updates, and quick links to commonly used actions.
NBI-10413;Shared document links with expiry;New Feature;Enable users to share documents through secure links that expire after a predefined period. The sharing interface should include options to set permissions like view-only or download-enabled. Links should be revocable at any time by the document owner.
NBI-10446;Dynamic campaign goals tracking;New Feature;Add tools to define and monitor goals for marketing campaigns, such as lead generation numbers or customer engagement rates.
NBI-10483;Ticket comments not saving consistently;Bug;Comments added to tickets are not saving consistently, particularly when multiple agents update the same ticket simultaneously. The issue has been reported across different browsers.
NBI-10515;Payment Method not updating in Receipt;Bug;The selected payment method is not reflected in the printed receipt.
NBI-10539;Email tracking enhancements;Improvement;Users have noted limitations in email tracking features. We will enhance email tracking to include open rates, link clicks, and reply times for better insights into customer engagement.
NBI-10562;Error When Editing Event Details;Bug;Users reported that editing event details sometimes causes errors, particularly when updating session times. Investigating this issue ensures organizers can update event information without disruptions.
NBI-10588;Investigation of delayed notifications for task updates;Investigation;Analyze delays in notifications for task updates, focusing on scenarios where multiple users are editing tasks simultaneously. The investigation should identify performance bottlenecks or notification queue issues.
NBI-10634;Customizable opportunity metrics;New Feature;Allow users to define and track custom metrics for opportunities, such as profitability, likelihood to close, or time spent in each stage.
NBI-10660;custom workflow notifications;New Feature;Allow users to define specific events or actions that trigger notifications, such as deal stage updates or new activity on a contact.
NBI-10723;Unified tax reporting system;Epic;Develop a unified tax reporting system that consolidates tax data from multiple jurisdictions into a single interface. The system should include region-specific formats, automated tax filing options, and tools for tracking outstanding filings.
NBI-10786;Customizable sales Pipeline views;New Feature;Enable users to create multiple pipeline views tailored to different teams or products, with unique filtering and layout options.
NBI-10860;Review of CRM integration points;Investigation;Customers have highlighted inconsistencies in data syncing between the CRM and third-party applications. We are reviewing all integration points to identify bottlenecks and areas for optimization. This investigation ensures smoother and more reliable integrations for external systems.
NBI-10872;Scheduled maintenance notifications;New Feature;Introduce a module to schedule maintenance notifications for users, with customizable messages and timelines. Administrators should have options to send reminders via email or in-app alerts. Clear communication minimizes disruptions during scheduled downtime.
NBI-10893;Role-based Dashboard Access;New Feature;Add the ability for administrators to define which dashboards are accessible to specific roles. This feature should include both read-only and editable permissions. It will provide better control over sensitive data and ensure role-specific visibility.
NBI-11153;Filter feedback by department;Improvement;Add a filter option for administrators to view feedback submitted by users from specific departments or teams. The filter should include a dropdown of departments linked to user profiles. This functionality provides a more focused view of department-specific concerns.
NBI-11155;Support for task subcategories;Improvement;Allow users to create subcategories within tasks for better organization. Each subcategory should have its own status, assignee, and due date while remaining linked to the parent task.
NBI-11167;Mismatched Currency Symbols in Purchase Reports;Bug;Purchase reports are displaying mismatched currency symbols when orders involve multi-currency transactions. The issue needs resolution to ensure consistent and accurate reporting.
NBI-11197;Mobile App Crashes on Record Updates;Bug;The mobile app crashes when users attempt to update records with a large number of custom fields. This issue is affecting mobile workflows for field sales teams. Resolving the crash will improve usability for mobile users managing complex records.
NBI-11241;Geofencing for Attendance Marking;Improvement;Implement geofencing to restrict attendance marking to specific locations. Employees attempting to mark attendance outside the designated area should receive a warning, and the system should log the attempt for review.
NBI-11271;Duplicate Email Notifications for Profile Updates;Bug;Employees are receiving duplicate email notifications when their profiles are updated. This issue has been reported more frequently for bulk profile changes.
NBI-11292;Dynamic email templates;New Feature;Introduce dynamic email templates that adjust content based on recipient attributes, such as industry, location, or deal stage.
NBI-11309;Configurable default report filters;New Feature;Introduce an option for users to save and apply default filters for frequently used reports. Administrators should be able to configure global default filters for all users. The preferences should also support role-specific configurations.
NBI-11328;Better Filtering in Preferences Search;Improvement;Enhance the search functionality in the preferences section to support filtering by categories, such as “Security” or “Appearance.” Results should dynamically update as users type. The improved search helps users locate specific settings more efficiently.
NBI-11343;Payment Reversal Not Updating Vendor Balances;Bug;Payment reversals are not updating the associated vendor balances, leaving incorrect totals in the system. The issue appears to be limited to certain scenarios where partial payments are involved.
NBI-11393;Lead Engagement Heatmap;New Feature;Introduce a heatmap visualization for leads to display engagement levels over time, highlighting periods of high and low activity.
NBI-11407;Recurring tasks not completing;Bug;Recurring tasks are not being marked as completed even when all subtasks are finished. Users have reported this issue causes confusion in task tracking. Fixing this bug will ensure smoother project workflows and task management.
NBI-11439;Full-text Search Results Missing Synonyms;Bug;Full-text search queries are not returning results for synonyms, even when configured. This issue is
NBI-11462;Enhanced interview notifications;Improvement;Update the interview notification system to include additional details like the meeting link, agenda, and expected duration. Notifications should also include an option to confirm or reschedule directly from the email or app.
NBI-11485;Documentation update for task planning features;Documentation;Update the documentation to include detailed instructions for using task planning features like dependencies, priorities, and recurring tasks. Include examples for common planning scenarios.
NBI-11581;Error when updating task dependencies;Bug;Summary: Task dependency updates fail to save.  Steps to Reproduce:  1. Create a project with dependent tasks (e.g., Task A must finish before Task B starts).  2. Update the dependency (e.g., set Task B to start one day earlier).  3. Save the changes and review the project timeline.  Actual Result: The changes are not saved, and dependencies remain unchanged.  Expected Result: Dependency updates should save without issues.
NBI-11595;Incorrect tax calculations on vendor bills;Bug;Summary: Taxes on vendor bills are calculated incorrectly when multiple tax rates apply.  Steps to Reproduce:  1. Create a vendor bill with multiple line items, each assigned a different tax rate.  2. Save the bill and review the tax summary.  Actual Result: The calculated tax amounts are incorrect, either overestimating or underestimating the total.  Expected Result: Taxes should be calculated accurately for each line item and reflected in the bill summary.
NBI-11635;Opportunity ownership transfer logs;Improvement;Introduce logging for opportunity ownership transfers, providing visibility into when and why an opportunity was reassigned.
NBI-11648;Cross-region data query API;New Feature;Provide an API to query data across multiple geographic regions, supporting unified views for global organizations. Developers should be able to specify region filters or include all regions in one request. This will streamline reporting and decision-making for multinational teams.
NBI-11679;Delayed Activity Notifications;Bug;Notifications for new activities are being sent several minutes late, causing delays in user responses. This issue has been particularly disruptive for teams relying on timely updates.
NBI-11696;Customer Portal for Payment History;New Feature;Create a customer portal where clients can view their payment history, download invoices, and update their payment methods. The portal should be linked to their account and include secure login options.
NBI-11737;cnyS radnelaC morf gnissiM sweivretnI deludehcS;Bug;Interviews scheduled in the recruitment system are not appearing in synced calendars for some users. This issue has been reported across multiple calendar platforms. Resolving this ensures that all scheduled events are synchronized correctly.
NBI-11747;Customizable invoice templates;New Feature;It has been decided to allow users to customize invoice templates with their branding. This includes the ability to upload logos, adjust layouts, and add custom fields.
NBI-11775;Simplified Multi-Contact Emailing;Improvement;Allow users to select multiple contacts within an account and send personalized emails in bulk with dynamic placeholders.
NBI-11822;Enhanced CRM API for integrations;Improvement;Developers asked for more flexibility when integrating CRM data into their systems. In response, we are enhancing the CRM API to include advanced filters, bulk update capabilities, and custom field support. This provides developers with the tools needed for more robust integrations.
NBI-11886;Support for multiple ticket types;Improvement;Update the ticketing system to support multiple ticket types for a single event, such as general admission, VIP, and group tickets. Organizers should be able to define pricing, benefits, and availability for each type.
NBI-11892;Pagination Limit Ignored in API Responses;Bug;The pagination limit parameter is being ignored in certain API responses, resulting in more records being returned than requested. This issue disrupts performance and violates expected behavior. Resolving this will align the API behavior with documented standards.
NBI-11907;Recurring invoice templates duplicating entries;Bug;Summary: Duplicate invoices are generated for recurring invoice templates.  Steps to Reproduce:  1. Create a recurring invoice template with a monthly frequency.  2. Wait for the system to generate the next invoice based on the template.  3. Check the invoice list for entries associated with the template.  Actual Result: Two or more identical invoices are generated for the same cycle.  Expected Result: Only one invoice is created per billing cycle.  Environment: Issue occurs in Accounting module, v4.1, tested on Windows 10 (Chrome) and MacOS (Safari).
NBI-11931;Lead import validation tools;Improvement;Add tools to validate imported leads for missing or inconsistent data before finalizing the process.
NBI-11992;Advanced Email Campaign Tutorial;Documentation;Develop a tutorial for creating advanced email campaigns, including multi-step workflows, behavior-based triggers, and A/B testing setups.
NBI-12052;Missing Response Metadata in Query API;Bug;The Query API is missing response metadata like total record counts, making it difficult for developers to paginate results efficiently. This limitation is affecting large-scale integrations. Adding metadata will improve usability and alignment with modern API standards.
NBI-12083;Documentation Update for Backup Configurations;Documentation;Update the backup configuration guide to include recent changes to retention policies, encryption options, and scheduling features. The guide should also include troubleshooting tips for common issues. Clear and up-to-date documentation reduces support queries and setup errors.
NBI-12147;Career page customization;New Feature;Develop a tool for customizing the organization’s career page with branding, job categories, and dynamic sections for featured roles. Administrators should have access to templates and drag-and-drop functionality for easy updates.
NBI-12181;Real-Time Exchange Rate Updates;Improvement;Integrate with an external API to fetch real-time exchange rates for multi-currency transactions. The system should automatically update rates periodically or allow users to refresh them on demand.
NBI-12236;Barcode scanning fails for certain items;Bug;Barcode scanning during stock transfers fails for items with long or non-standard codes. Users have reported errors when attempting to scan these items, requiring manual entry instead.
NBI-12301;Streamlined contact import process;Improvement;Simplify contact imports by auto-detecting common field mappings and providing previews of how imported data will appear
NBI-12419;Customizable Activity Recurrence;Improvement;Extend activity recurrence settings to allow custom intervals, such as every three days or on specific weekdays.
NBI-12433;Additional security for user login;Improvement;Introduce optional two-factor authentication for users accessing the system. Administrators should have the ability to enforce this setting for specific roles or the entire organization. Strengthened security protects sensitive data from unauthorized access.
NBI-12453;Missing audit logs for inventory adjustments;Bug;Inventory adjustments made through the bulk update tool are not being logged in the audit history. This issue creates gaps in tracking changes to stock levels.
NBI-12497;Expanded time zone dropdown;Improvement;Update the time zone selection dropdown to include user-friendly labels and a search function. The system should display current time zones based on user location for easier selection. Preferences should save automatically upon selection.
NBI-12641;Customizable dashboards;New Feature;Feedback suggests that users want more control over the layout and content of dashboards. We will enable drag-and-drop customization, widgets, and filtering options to personalize the experience.
NBI-12659;Comprehensive accessibility updates;Epic;Launch a project to update accessibility settings, including better screen reader support, customizable contrast modes, and improved keyboard navigation. Include tasks for testing across devices and languages. The updates make the system more usable for diverse user groups.
NBI-12665;Purchase Order Status Sync with Accounting;Improvement;Ensure purchase order statuses are synced with the accounting module in real time. For example, orders marked as “Paid” should automatically update their payment status in the accounting system.
NBI-12694;Duplicate vendor records in system;Bug;Duplicate vendor records are being created during imports, even when duplicate detection is enabled. Investigating and fixing the duplicate detection logic will prevent unnecessary clutter in the vendor database.
NBI-12722;Account hierarchies;New Feature;Many users have asked for the ability to organize accounts into hierarchies. We will add this feature to track parent-child relationships between accounts for better reporting and segmentation.
NBI-12727;Delayed delivery of critical alerts.;Bug;Alerts for critical events like failed backups or security breaches are being delivered with significant delays. Administrators are unable to respond to issues in a timely manner. Fixing this ensures prompt notifications for time-sensitive events.
NBI-12816;Integration with Job Aggregators;Improvement;Expand integration options with job aggregators like Indeed, Glassdoor, and Monster to distribute job postings more effectively. Recruiters should be able to track the performance of postings on each platform.
NBI-12833;AI-powered demand forecasting;New Feature;Introduce a demand forecasting tool powered by machine learning to predict sales trends based on historical data and market conditions. The feature should include adjustable parameters for seasonality and growth rates. Teams can use forecasts to optimize inventory and sales planning.
NBI-12875;Enhanced Bulk Editing Options;Improvement;Add advanced bulk editing capabilities for opportunities, including multi-select fields and stage updates.
NBI-12968;Dynamic role creation module;New Feature;Add functionality to create and manage dynamic roles with customizable permissions for specific modules. Administrators should have options to define role templates and assign them in bulk. This feature will improve flexibility in managing access controls.
NBI-12993;API rate limit headers not accurate;Bug;The rate limit headers in API responses are occasionally reporting incorrect remaining request counts, leading to unexpected throttling. Developers rely on these headers to manage their request strategies. Fixing this issue will improve transparency and API usage optimization.
NBI-13053;Error in skill assignments during bulk updates;Bug;Assigning skills to employees in bulk is causing errors, particularly when the skill database includes recently added entries.
NBI-13096;User onboarding guide update;Documentation;Update the onboarding guide to reflect recent UI changes, covering new features like dynamic dashboards and updated notification preferences.
NBI-13117;Best Practices for Attendance Management;Documentation;Create a best practices guide for managing employee attendance, covering topics like handling deviations, configuring alerts, and managing remote attendance. The guide should also include case studies for different organizational setups.
NBI-13127;Drag-and-drop for task reordering;Improvement;Introduce drag-and-drop functionality in task lists, allowing users to reorder tasks based on priority or dependencies. The app should save the updated order automatically. This feature simplifies task management and eliminates the need for manual sorting via dropdown menus.
NBI-13159;Waitlist management for events;New Feature;Add a waitlist management feature for events that reach capacity. Organizers should be able to configure automatic notifications for available spots and prioritize attendees based on waitlist order.
NBI-13204;Support for consolidated financial reports;Improvement;Enable users to generate consolidated financial reports for multiple entities within an organization. The system should automatically eliminate intercompany transactions and allow users to configure consolidation rules.
NBI-13233;Best practices guide for project planning;Documentation;Create a best practices guide for project planning, covering topics like setting milestones, managing resources, and tracking progress. Include templates and case studies to assist users.
NBI-13245;Real-time collaboration features;Epic;Develop a suite of collaboration tools for the mobile app, including in-app messaging, shared task updates, and comment threads. The project will involve integrating these features across modules like CRM and projects. Collaborative functionality enhances team productivity on the go.
NBI-13293;API error response standardization;Investigation;Review error response structures for all API endpoints to ensure consistent formats, including clear error codes and messages. Identify discrepancies in current implementations and propose standardization guidelines. The findings will guide improvements to developer-facing APIs.
NBI-13294;AI-based call transcription;New Feature;Add an AI-powered call transcription feature to automatically log phone conversations in the CRM. Users should be able to search and reference transcriptions for improved follow-ups and accuracy.
NBI-13296;Granular field permissions;Improvement;Users have requested more control over who can view or edit specific fields in CRM records. Introduce granular permissions at the field level for better security and compliance.
NBI-13296;Churn prediction feasibility study;Investigation;Explore the feasibility of implementing churn prediction tools to identify at-risk customers. Analyze data sources and recommend a development plan.
NBI-13320;Contact Deletion Leaves Orphaned Records;Bug;Deleting a contact is leaving orphaned records in the system, such as tasks and notes, that are no longer accessible or linked.
NBI-13351;Folder size display in directory view;Improvement;Include a size display for each folder in the directory view, showing the total size of all documents contained within. The display should update dynamically as files are added or removed. Users should be able to sort folders by size to identify space usage.
NBI-13375;Recurring tasks are being duplicated;Bug;Recurring tasks are being duplicated unintentionally when users edit their recurrence settings.
NBI-13508;Behavior-Triggered Lead Alerts;New Feature;Create alerts for behavior-triggered events, such as when a lead opens an email multiple times or visits the website’s pricing page.
NBI-13511;Lead nurture email templates;New Feature;Create a library of pre-designed email templates for lead nurturing, tailored to various stages of the customer journey. Users should be able to customize these templates as needed.
NBI-13527;Exportable user permissions report;New Feature;Create a feature to export detailed user permissions into a report, including role assignments and custom overrides. Administrators should be able to generate these reports by department or team. This will simplify audits and compliance checks.
NBI-13550;File upload API returning incorrect urls;Bug;File upload responses are returning incorrect URLs for accessing uploaded files, causing broken links in integrated systems. Developers have reported this issue frequently for large files. Addressing this will ensure accurate and reliable file access for all uploads.
NBI-13553;Multi-Stage Campaign Triggers;New Feature;Add triggers that initiate new campaign stages based on customer responses or lack of activity. For example, send a follow-up email if no reply is received within 3 days.
NBI-13615;Historical data import support;Improvement;Companies migrating from other systems have requested better support for importing historical data. We will enhance import tools to handle legacy records and maintain data integrity.
NBI-13663;API Integration documentation update;Documentation;Update the API documentation to reflect new endpoints and provide more detailed usage examples, particularly for advanced integration scenarios.
NBI-13671;Opportunity health scores;New Feature;Add a health score metric for opportunities, calculated based on activity levels, customer responsiveness, and deal progression.
NBI-13710;Calendar Events Display Incorrect Times;Bug;Events in the calendar module are occasionally displaying incorrect times due to time zone mismatches. Users have reported this issue when syncing with external calendars. Ensuring correct time zone handling resolves scheduling conflicts.
NBI-13729;Email Attachments Missing;Bug;Attachments included in emails are sometimes not appearing in the CRM’s customer profiles. This has led to incomplete records and difficulties in retrieving shared documents for reference.
NBI-13756;Metadata configuration guide update;Documentation;Update the metadata configuration guide to include new features such as bulk editing, mandatory fields, and default values. The guide should include step-by-step instructions with screenshots to help users understand how to configure metadata effectively.
NBI-13830;Data retention policy management;Improvement;Allow admins to define and enforce data retention policies, including automatic archiving or deletion of old records.
NBI-13845;Replication Lag Increasing Under Load;Bug;Database replicas are experiencing significant lag during peak query loads, causing delays in real-time analytics. This issue is reducing the usefulness of replicas for read-heavy operations. Optimizing replication processes will enhance performance under high workloads.
NBI-13905;Email Template Preview Feature;Improvement;Add a live preview option for email templates, allowing users to see how emails will appear to recipients before sending.
NBI-13932;Incorrect currency conversion in apis;Bug;Financial APIs are returning incorrect currency conversions for multi-currency accounts, leading to inaccurate reports and forecasts. Developers have flagged discrepancies for both manual and automatic currency adjustments. Resolving this will ensure accurate financial data handling.
NBI-13944;Enhanced duplicate detection for contacts;Improvement;Refine the duplicate detection logic for contacts by including advanced matching algorithms that detect similarities in names, emails, and phone numbers.
NBI-13952;Bulk user upload fails for large files;Bug;The bulk user upload feature fails for files with a large number of entries, even when within size limits. This disrupts onboarding for large teams or departments. Optimizing the upload process will improve system usability.
NBI-13972;Reports missing data for archived projects;Bug;Summary: Reports fail to include data for archived projects.  Steps to Reproduce:  1. Open the Reporting section and select “Project Overview.”  2. Include archived projects in the filter options.  3. Generate the report and review the data.  Actual Result: Archived project data is missing, even though the filter is applied.  Expected Result: The report should display data for all selected projects, including archived ones.  Environment: Reporting module on cloud-hosted instance with Chrome v116 and Edge v114.
NBI-14005;Slow Page Load for Large Accounts;Bug;The account page takes excessively long to load for customers with a high volume of associated records, impacting usability.
NBI-14024;Automated sla tracking for support tickets;New Feature;Introduce automated SLA tracking for support tickets logged in the CRM, with alerts and escalation workflows when deadlines are approaching or breached.
NBI-14032;Faster invoice processing interface;Improvement;Optimize the invoice processing interface to reduce loading times for large datasets. Include batch processing options to update multiple invoices simultaneously.
NBI-14082;Customizable password policy rules;Improvement;Allow administrators to define custom password rules, such as minimum length, special character requirements, and expiration timelines. A dashboard should display compliance metrics for these rules. Granular control over password policies strengthens system security.
NBI-14114;Email template management;Improvement;The current email template editor is not user-friendly, leading to frustration among users. We will redesign it with drag-and-drop editing, reusable components, and a preview mode to simplify the process of creating and managing templates.
NBI-14125;Batch Import for Product Categories;New Feature;Add functionality to allow bulk import of product categories through CSV or Excel files. The system should validate data and display errors for invalid entries during the import process.
NBI-14142;Password policy changes not applied;Bug;Updates to password policies are not being applied immediately, leaving accounts with weaker protections than intended. This issue is critical for maintaining security compliance. Resolving this will ensure policy changes are enforced in real time.
NBI-14168;Low-stock alerts configuration;Improvement;Add options to configure low-stock alerts by product category or location. Users should be able to choose how and when they are notified, such as through email, SMS, or in-app alerts.
NBI-14176;Dynamic Vendor Selection Rules;New Feature;Implement rules for automatic vendor selection during purchase order creation based on predefined criteria like cost, lead time, or preferred supplier status. Users should be able to configure these rules within the purchase settings.
NBI-14213;Contact Interaction Heatmap;New Feature;Add a heatmap visualization for contact interactions, showing periods of high engagement and identifying potential lapses in communication.
NBI-14217;Redesign of planning dashboard;Epic;Redesign the planning dashboard to improve usability and include features like real-time updates, advanced filters, and customizable widgets. The project will involve updates to both UI and backend performance.
NBI-14317;Integration feasibility for salesforce migration;Investigation;Investigate the feasibility of integrating CRM data with Salesforce for customers planning to migrate, focusing on data compatibility and automation opportunities.
NBI-14320;Review of purchase order cancellation trends;Investigation;Analyze recent trends in purchase order cancellations to identify common causes. Focus on vendor-related issues, internal errors, or system-generated cancellations. The findings should guide improvements to the purchase order management process.
NBI-14325;Lead Nurturing Score Trends;New Feature;Provide a trend visualization for lead scores over time to show how engagement levels change during nurturing campaigns.
NBI-14337;User feedback analysis on mobile app;Investigation;Gather and analyze feedback from mobile app users to identify pain points and prioritize future improvements.
